match_id,steam_id,guild_id,position,goals,assists,second_assists,shots,shots_on_goal,passes_completed,passes_attempted,pass_accuracy,chances_created,key_passes,interceptions,tackles,sliding_tackles_completed,fouls,fouls_suffered,yellow_cards,red_cards,keeper_saves,keeper_saves_caught,goals_conceded,offsides,own_goals,free_kicks,penalties,corners,throw_ins,goal_kicks,possession,time_played,time_gk,time_def,time_mid,time_att,distance_covered
20260125220118iocaa-v-iocab4-5,STEAM_0:0:423977434,,RW,1,2,0,2,1,12,20,60.0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,7627,0,0,0,7627,6633
20260125220118iocaa-v-iocab4-5,STEAM_0:1:929272359,,RB,1,0,1,3,2,23,29,79.31,2,2,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,85,7627,0,7627,0,0,6895
20260125220118iocaa-v-iocab4-5,STEAM_0:0:712559796,,LB,1,3,0,5,3,14,25,56.0,5,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,128,7627,0,7627,0,0,7013
20260125220118iocaa-v-iocab4-5,STEAM_0:1:627950827,,LW,1,1,1,4,3,23,36,63.89,4,3,6,5,1,0,0,0,0,0,0,0,2,0,0,0,4,1,0,212,7627,0,0,0,7627,7054
20260125220118iocaa-v-iocab4-5,STEAM_0:1:702927026,,LB,0,1,0,0,0,16,22,72.73,2,1,7,4,0,0,0,0,0,5,4,3,0,0,0,0,0,0,5,40,6672,3296,3376,0,0,4151
20260125220118iocaa-v-iocab4-5,STEAM_0:0:495288729,,RW,2,1,0,9,6,13,18,72.22,2,1,6,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,177,7627,0,0,0,7627,7285
20260125220118iocaa-v-iocab4-5,STEAM_0:1:787992769,,LW,1,1,0,8,6,9,11,81.82,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,7569,0,0,0,7569,6066
20260125220118iocaa-v-iocab4-5,STEAM_0:1:597838122,,RB,0,0,1,0,0,11,20,55.0,0,0,11,7,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,70,7572,0,7572,0,0,7284
20260125220118iocaa-v-iocab4-5,STEAM_0:0:531523175,,CM,0,0,0,0,0,13,21,61.9,1,1,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74,7576,0,0,7576,0,5813
20260125220118iocaa-v-iocab4-5,STEAM_0:0:523865819,,GK,0,0,0,0,0,20,26,76.92,2,2,10,1,0,0,0,0,0,10,7,6,0,0,0,0,0,0,3,55,7627,4331,3296,0,0,5184
20260125220118iocaa-v-iocab4-5,STEAM_0:1:512006848,,CM,2,0,0,4,3,7,22,31.82,1,1,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,187,7627,0,0,7627,0,7457
20260125220118iocaa-v-iocab4-5,STEAM_0:0:87757576,,Unknown,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260125220118iocaa-v-iocab4-5,STEAM_0:0:842808826,,Unknown,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260125220118iocaa-v-iocab4-5,STEAM_0:0:444329654,,LB,0,0,0,0,0,1,4,25.0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,900,0,900,0,0,844
