match_id,datetime,Steam ID,Name,Team Name,Opponent Team Name,Team Side,Position,assists,chancesCreated,corners,distanceCovered,fouls,foulsSuffered,freeKicks,goalKicks,goals,goalsConceded,interceptions,keeperSaves,keeperSavesCaught,keyPasses,offsides,ownGoals,passes,passesCompleted,penalties,possession,redCards,secondAssists,shots,shotsOnGoal,slidingTackles,slidingTacklesCompleted,throwIns,yellowCards
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:1:956256961,sexo,Belgium,Argentina,away,RW,1,1,0,3892,0,0,0,0,0,0,1,0,0,0,0,0,13,7,0,66,0,0,0,0,2,0,1,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:0:613214094,Empanada,Belgium,Argentina,away,CM,0,1,1,5557,0,0,1,0,0,0,6,0,0,1,1,0,19,12,0,76,0,0,2,2,3,1,0,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:1:451783975,Papalito,Argentina,Belgium,home,LW,1,1,0,5194,0,0,0,0,2,0,1,0,0,0,1,0,21,13,0,106,0,0,5,3,5,0,0,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:0:523865819,chaq,Belgium,Argentina,away,GK,1,2,1,4275,0,0,0,2,0,3,3,5,3,1,0,0,22,20,0,72,0,1,1,1,3,0,0,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:0:449236,LagHank,Belgium,Argentina,away,RB,0,4,0,5282,0,0,0,0,0,0,5,0,0,4,0,0,26,21,0,108,0,0,0,0,0,0,3,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:0:87757576,daniel,Belgium,Argentina,away,LW,0,0,0,5321,0,0,0,0,3,0,3,0,0,0,1,0,14,13,0,140,0,0,7,5,1,0,2,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:0:115494837,eSlicer,Belgium,Argentina,away,GK,1,1,0,2579,0,0,1,9,0,4,4,6,6,0,0,0,30,24,0,32,0,0,0,0,0,0,0,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:1:126572080,Krythx,Argentina,Belgium,home,CM,0,1,0,2736,0,0,0,0,0,0,4,0,0,1,0,0,14,11,0,80,0,0,0,0,1,1,1,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:0:842808826,0),Argentina,Belgium,home,LB,0,0,0,4734,0,0,0,0,0,0,3,0,0,0,0,0,19,16,0,64,0,1,1,0,2,1,1,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:1:741203476,larry,Argentina,Belgium,home,RB,0,1,0,4740,0,0,1,0,1,0,8,0,0,1,0,0,21,15,0,77,0,0,2,1,1,0,2,0
20250630234239argentina-v-belgiu4-3,2025-06-30 23:42:39,STEAM_0:1:588628560,BrandonBQM,Argentina,Belgium,home,RW,0,1,2,5718,0,0,0,0,1,0,2,0,0,1,0,0,15,8,0,104,0,0,9,5,2,0,1,0
