steamid,player,position,appearances,finalRating
STEAM_0:0:112392907,Alison Becker (F 47),LB,27,7.05
STEAM_0:0:115494837,eSlicer,GK,154,7.6
STEAM_0:0:115985751,Riley Lover,RW,111,7.76
STEAM_0:0:120938788,markus,LB,3,6.31
STEAM_0:0:12997958,Entz,CM,5,6.53
STEAM_0:0:13346995,fang,CM,1,5.71
STEAM_0:0:138368601,abe,RW,3,6.25
STEAM_0:0:153856297,Cian,LW,1,5.7
STEAM_0:0:174917589,Bussetto,,1,
STEAM_0:0:180990394,croco33,,1,
STEAM_0:0:181446836,Tung tung tung tung tung sahur,CB,1,5.73
STEAM_0:0:184861085,skipi,RB,6,6.65
STEAM_0:0:196395683,sane,LB,1,5.73
STEAM_0:0:196859543,CheezyInACareHome,RW,1,5.7
STEAM_0:0:208435993,snek,LB,1,5.73
STEAM_0:0:210480982,Guille2610,LB,17,6.96
STEAM_0:0:216661669,zlatan,RW,4,6.39
STEAM_0:0:223749320,pei,LB,21,7.0
STEAM_0:0:227155941,abou,LW,1,5.7
STEAM_0:0:236748586,Joshua19,,1,
STEAM_0:0:252753,BEAST,LW,12,6.79
STEAM_0:0:31014794,whomhimis?,RB,41,6.98
STEAM_0:0:42043307,gahyun,CM,15,6.88
STEAM_0:0:423977434,Pisco,RW,151,9.12
STEAM_0:0:43005882,JayK,,1,
STEAM_0:0:436040412,Magma,LW,1,5.7
STEAM_0:0:444329654,El Bebe,CM,4,6.42
STEAM_0:0:449236,LagHank,RB,55,7.43
STEAM_0:0:449773657,Sauron RAFA SILVA,,1,
STEAM_0:0:454662343,Chilli Peppers,,1,
STEAM_0:0:455145222,darwizzy,RW,1,5.7
STEAM_0:0:456191419,El violador,LW,89,7.57
STEAM_0:0:489631589,Patitos,RB,3,6.31
STEAM_0:0:4901026,Jumbo,LW,1,5.7
STEAM_0:0:490250953,El_Pistolero,,2,
STEAM_0:0:495288729,El oleador,LW,282,9.29
STEAM_0:0:500399852,pirri al que someten,GK,1,5.72
STEAM_0:0:509098898,CvRonaldinho,RW,5,6.65
