steamid,player,position,generalPosition,appearances,finalRating
STEAM_0:0:112392907,Alison Becker (F 47),nan,FLX,27,
STEAM_0:0:115494837,eSlicer,GK,GK,154,7.6
STEAM_0:0:115985751,Riley Lover,RW,ATK,111,7.75
STEAM_0:0:120938788,markus,LB,DEF,3,6.28
STEAM_0:0:12997958,Entz,nan,FLX,5,
STEAM_0:0:13346995,fang,CM,MID,1,5.7
STEAM_0:0:138368601,abe,RW,ATK,3,6.23
STEAM_0:0:153856297,Cian,LW,ATK,1,5.69
STEAM_0:0:174917589,Bussetto,nan,FLX,1,
STEAM_0:0:180990394,croco33,nan,FLX,1,
STEAM_0:0:181446836,Tung tung tung tung tung sahur,CB,DEF,1,5.71
STEAM_0:0:184861085,skipi,nan,FLX,6,
STEAM_0:0:196395683,sane,LB,DEF,1,5.71
STEAM_0:0:196859543,CheezyInACareHome,RW,ATK,1,5.69
STEAM_0:0:208435993,snek,LB,DEF,1,5.71
STEAM_0:0:210480982,Guille2610,LB,DEF,17,6.91
STEAM_0:0:216661669,zlatan,RW,ATK,4,6.37
STEAM_0:0:223749320,pei,LB,DEF,21,6.95
STEAM_0:0:227155941,abou,LW,ATK,1,5.69
STEAM_0:0:236748586,Joshua19,nan,FLX,1,
STEAM_0:0:252753,BEAST,LW,ATK,12,6.76
STEAM_0:0:31014794,whomhimis?,RB,DEF,41,7.03
STEAM_0:0:42043307,gahyun,CM,MID,15,6.85
STEAM_0:0:423977434,Pisco,RW,ATK,151,9.18
STEAM_0:0:43005882,JayK,nan,FLX,1,
STEAM_0:0:436040412,Magma,LW,ATK,1,5.69
STEAM_0:0:444329654,El Bebe,nan,FLX,4,
STEAM_0:0:449236,LagHank,RB,DEF,55,7.36
STEAM_0:0:449773657,Sauron RAFA SILVA,nan,FLX,1,
STEAM_0:0:454662343,Chilli Peppers,nan,FLX,1,
STEAM_0:0:455145222,darwizzy,RW,ATK,1,5.69
STEAM_0:0:456191419,El violador,LW,ATK,89,7.56
