steamid,player,position,appearances,finalRating
BOT,IOSCA GA | Source TV,,49,
STEAM_0:0:112392907,Never got good,LB,28,7.07
STEAM_0:0:115494837,eSlicer,GK,168,7.24
STEAM_0:0:115985751,Chuky,CM,116,7.14
STEAM_0:0:120938788,tole tole,LB,3,6.33
STEAM_0:0:12997958,Entz,CM,6,6.64
STEAM_0:0:13346995,fang,CM,1,5.73
STEAM_0:0:138368601,abe,RW,3,6.3
STEAM_0:0:14773237,unnamed,GK,6,6.74
STEAM_0:0:153856297,Cian,LW,1,5.72
STEAM_0:0:155973051,pitua.,RW,1,5.72
STEAM_0:0:158232016,Gabriel Jesus,LB,3,6.33
STEAM_0:0:174917589,Bussetto,,1,
STEAM_0:0:180990394,croco33,,1,
STEAM_0:0:181446836,Tung tung tung tung tung sahur,CB,1,5.74
STEAM_0:0:184861085,skipi,CM,8,6.74
STEAM_0:0:196395683,sane,LB,1,5.74
STEAM_0:0:196859543,CheezyChips,LW,4,6.45
STEAM_0:0:208435993,snek,LB,1,5.74
STEAM_0:0:210480982,Guille2610,LB,17,6.99
STEAM_0:0:216661669,zlatan,RW,4,6.45
STEAM_0:0:223749320,don kbrn,LB,20,7.02
STEAM_0:0:227155941,abou,LW,1,5.72
STEAM_0:0:236748586,Joshua19,,1,
STEAM_0:0:252753,BEAST,LW,12,6.86
STEAM_0:0:31014794,gennaro,RB,45,7.13
STEAM_0:0:42043307,gahyun,CM,15,6.92
STEAM_0:0:423977434,Pisco,RW,204,8.99
STEAM_0:0:43593813,Fedza,,1,
STEAM_0:0:436040412,Magma,LW,1,5.72
STEAM_0:0:444329654,romannumeral,CM,4,6.45
STEAM_0:0:449236,LagHank,RB,75,7.19
STEAM_0:0:454662343,Chilli Peppers,,1,
STEAM_0:0:455145222,darwizzy,RW,1,5.72
STEAM_0:0:456191419,el jefe,LW,107,7.4
STEAM_0:0:489631589,Lyne,RB,7,6.73
STEAM_0:0:4901026,Jumbo,LW,1,5.72
STEAM_0:0:490250953,El_Pistolero,,2,
STEAM_0:0:495288729,polar,LW,420,8.27
STEAM_0:0:500399852,pirri al que someten,GK,1,5.77
STEAM_0:0:508333149,Glizzy,,1,
STEAM_0:0:509098898,CvRon,RW,5,6.55
STEAM_0:0:510262918,2.0 tdi future,RB,4,6.48
STEAM_0:0:511909092,Don Ramon,GK,57,7.22
STEAM_0:0:514087473,shodabear,,1,
STEAM_0:0:521490581,Maldini(pacci's dog),,1,
STEAM_0:0:523865819,chaq,LB,201,9.27
STEAM_0:0:529937721,Rego,GK,3,6.38
STEAM_0:0:531523175,Yanke,LW,3,6.3
STEAM_0:0:533877165,1.7block,,1,
STEAM_0:0:534882985,pussy destroyer,LB,2,6.11
STEAM_0:0:53589364,diego,RB,1,5.74
