steamid,player,main_role,total_appearances,total_minutes,atk_rating,mid_rating,def_rating,gk_rating,atk_appearances,mid_appearances,def_appearances,gk_appearances,atk_minutes,mid_minutes,def_minutes,gk_minutes,main_role_rating,display_main_role_rating,rating,last_match_at,is_official_rating
STEAM_0:0:591586986,... 1  half,MID,583,45938,9.05,9.86,7.91,8.81,161,294,52,76,13696,22702,3345,3858,9.86,9.86,9.86,2026-08-22 06:07:20,True
STEAM_0:1:588628560,Brandon_BQM,DEF,406,29378,8.52,8.88,9.35,8.6,44,113,129,120,3710,7543,10637,6619,9.35,9.35,9.35,2026-08-21 08:02:40,True
STEAM_0:0:27418277,autip-,ATK,349,31693,9.72,9.92,8.18,6.36,176,106,60,7,16819,8680,5571,225,9.72,9.07,9.07,2026-07-15 22:27:28,True
STEAM_0:1:126572080,Krythx,MID,258,21093,9.57,9.3,9.12,8.53,86,126,30,16,7366,10316,2250,910,9.3,9.05,9.05,2026-08-10 01:15:20,True
STEAM_0:1:776748154,Bicho,DEF,642,55076,7.36,8.13,8.96,6.27,110,84,440,8,8491,5343,38250,344,8.96,8.96,8.96,2026-08-22 23:45:02,True
STEAM_0:0:566727630,Snowy,GK,607,42796,8.4,8.49,6.63,8.88,209,47,73,278,18294,2900,4956,14401,8.88,8.88,8.88,2026-08-16 22:44:16,True
STEAM_0:0:523865819,shaq,DEF,576,41352,6.22,6.88,8.86,9.48,23,64,312,177,1250,2408,26635,9291,8.86,8.86,8.86,2026-08-22 06:07:20,True
STEAM_0:0:115494837,eSlicer,GK,205,11559,8.53,8.16,8.0,9.17,30,60,51,64,1517,2650,3572,3488,9.17,8.77,8.77,2026-08-09 03:34:33,True
STEAM_0:1:787992769,kliy,ATK,524,43599,9.06,8.38,6.49,7.2,370,113,22,19,32655,6509,937,808,9.06,8.66,8.66,2026-07-29 03:34:42,True
STEAM_0:0:557206486,kobbeh,ATK,337,24608,9.29,6.17,7.21,7.75,186,52,68,31,16492,1190,4786,1562,9.29,8.64,8.64,2026-07-12 05:09:42,True
STEAM_0:1:146620910,messipelado,ATK,594,45343,8.98,7.17,6.82,6.76,301,113,115,65,26750,5537,8591,2875,8.98,8.58,8.58,2026-08-01 02:09:50,True
STEAM_0:0:87757576,daniel,MID,108,8338,8.28,8.52,6.27,,45,60,3,0,3697,4337,162,0,8.52,8.52,8.52,2026-08-17 05:59:17,True
STEAM_0:1:6064525,Bonny Lovy,MID,155,8230,8.32,8.39,6.38,6.76,24,109,14,8,1033,5259,855,455,8.39,8.39,8.39,2026-08-22 00:00:20,True
STEAM_0:0:838076937,yeico,ATK,725,58563,8.38,8.16,7.35,7.67,379,291,22,33,32326,21095,1390,1440,8.38,8.38,8.38,2026-08-22 23:45:02,True
STEAM_0:0:709867121,Garotinho,MID,309,21640,6.78,8.31,7.4,6.01,28,227,41,13,1587,15337,3124,391,8.31,8.31,8.31,2026-08-22 23:45:02,True
STEAM_0:1:4812742,Fallen,ATK,76,6178,8.29,8.79,6.61,6.16,34,29,11,2,2793,2372,823,102,8.29,8.29,8.29,2026-08-22 02:44:28,True
STEAM_0:1:627950827,The Chosen One,ATK,181,12805,8.24,7.55,7.27,5.97,90,48,38,5,6885,2428,2448,113,8.24,8.24,8.24,2026-08-22 22:07:36,True
STEAM_0:1:451783975,Papalito,ATK,472,36683,8.61,8.95,7.08,9.33,308,88,50,26,25138,5111,3455,1051,8.61,8.21,8.21,2026-08-08 03:33:25,True
STEAM_0:0:423977434,Pisco,ATK,423,35209,8.17,8.32,7.27,6.19,328,51,33,11,29579,2261,2404,313,8.17,8.17,8.17,2026-08-22 22:07:36,True
STEAM_0:0:842808826,0,DEF,1372,114026,8.23,7.91,8.15,7.38,160,310,865,38,12784,21008,73333,1398,8.15,8.15,8.15,2026-08-22 02:44:28,True
STEAM_0:0:712559796,Santana,ATK,675,54143,8.15,8.92,7.5,7.08,288,254,112,21,23403,18854,7966,465,8.15,8.15,8.15,2026-08-22 06:07:20,True
STEAM_0:1:631317413,el raro,DEF,467,35157,6.02,7.75,8.12,7.86,109,128,179,51,7823,8058,14387,2360,8.12,8.12,8.12,2026-08-22 22:07:36,True
STEAM_0:0:495288729,..,ATK,1075,95316,8.08,7.71,7.62,7.98,829,119,98,29,75593,8109,7183,1040,8.08,8.08,8.08,2026-08-22 02:44:28,True
STEAM_0:0:115985751,Chuky,MID,278,24754,6.53,8.06,8.46,6.33,93,141,43,1,8017,12102,3483,55,8.06,8.06,8.06,2026-08-22 23:45:02,True
STEAM_0:0:581528215,Alexxx,MID,117,11056,7.99,7.92,6.15,,38,73,6,0,3545,6861,555,0,7.92,7.92,7.92,2026-08-22 23:45:02,True
STEAM_0:1:127001049,bagobread,ATK,154,14168,7.85,8.43,6.86,5.94,89,58,5,2,8008,5210,334,66,7.85,7.85,7.85,2026-08-22 02:44:28,True
STEAM_0:0:565662550,ChetosDeQueso,GK,311,15474,5.61,5.4,6.12,7.82,25,44,58,184,1495,537,3545,9142,7.82,7.82,7.82,2026-08-22 23:45:02,True
STEAM_0:0:14773237,Bicho,ATK,74,6403,7.74,6.01,6.67,6.31,47,6,11,10,4366,428,915,426,7.74,7.74,7.74,2026-08-22 23:45:02,True
STEAM_0:1:702927026,... 1  half,MID,52,4440,7.7,8.29,6.94,,12,26,14,0,1002,2181,964,0,8.29,7.64,7.64,2026-07-23 04:18:29,True
STEAM_0:0:631503315,Loki,DEF,289,23510,6.26,6.27,7.64,6.57,46,56,166,21,4084,2727,14994,1208,7.64,7.64,7.64,2026-08-22 06:07:20,True
STEAM_0:1:428625097,Richie,DEF,204,17335,5.28,5.51,7.59,5.87,7,5,188,4,139,28,16734,230,7.59,7.59,7.59,2026-08-20 02:29:15,True
STEAM_0:0:449236,LagHank,DEF,202,19057,6.38,7.08,7.8,,2,6,194,0,196,468,18369,0,7.8,7.55,7.55,2026-08-16 01:58:25,True
STEAM_0:1:512006848,div3,ATK,119,9484,8.39,7.48,6.95,,57,47,15,0,4953,2949,1271,0,8.39,7.49,7.49,2026-05-31 07:03:38,True
STEAM_0:0:650460285,EltyTongo48,ATK,176,14868,7.48,6.87,5.99,6.53,141,20,8,7,12538,795,527,347,7.48,7.48,7.48,2026-08-22 02:44:28,True
STEAM_0:0:910181096,KRug4,DEF,298,21190,5.95,6.5,7.39,7.58,16,51,146,85,938,2707,11759,3913,7.39,7.39,7.39,2026-08-22 22:07:36,True
STEAM_0:1:741203476,larry,DEF,887,65201,7.86,7.69,7.35,7.75,115,157,439,176,8655,10969,34422,8337,7.35,7.35,7.35,2026-08-22 23:45:02,True
STEAM_0:1:846551844,Pepe Martines,GK,617,43379,7.37,6.51,6.0,7.32,208,48,114,247,16892,2556,7767,12514,7.32,7.32,7.32,2026-08-22 23:45:02,True
STEAM_0:0:600668238,la ardilla,MID,269,22176,6.76,7.65,7.81,7.66,80,92,64,33,6990,7767,4999,1481,7.65,7.25,7.25,2026-07-27 21:12:56,True
STEAM_0:1:567092520,EmeVeSe,ATK,79,7298,7.12,6.08,6.31,5.34,58,6,13,2,5587,462,939,64,7.12,7.12,7.12,2026-08-22 23:45:02,True
STEAM_0:1:722278941,R1CARDR0,DEF,336,29147,8.0,7.64,7.12,5.6,64,61,210,1,5616,3709,19237,25,7.12,7.12,7.12,2026-08-22 06:07:20,True
STEAM_0:1:712148059,eric,ATK,50,3716,8.01,6.59,5.85,,39,10,1,0,3004,579,98,0,8.01,7.11,7.11,2026-06-20 23:45:00,True
STEAM_0:1:61921742,Chicharito,DEF,51,4099,5.78,7.35,7.72,,7,15,29,0,541,1165,2262,0,7.72,7.07,7.07,2026-07-23 04:18:29,True
STEAM_0:1:500569573,Happy Maxi,DEF,63,5109,5.93,7.56,7.42,,6,24,33,0,348,1804,2920,0,7.42,7.02,7.02,2026-08-01 21:08:52,True
STEAM_0:0:837955394,hi,ATK,123,8054,7.9,6.72,7.52,6.69,60,41,19,3,4847,1305,1400,159,7.9,7.0,7.0,2026-06-20 21:17:36,True
STEAM_0:1:512399309,kevin roldan,DEF,130,10410,5.88,6.16,6.99,5.68,9,10,108,3,656,320,9094,7,6.99,6.99,6.99,2026-08-22 02:26:28,True
STEAM_0:1:788528725,Anthony,DEF,191,13216,6.04,5.91,7.38,7.29,15,27,134,17,1044,455,10448,993,7.38,6.98,6.98,2026-08-02 21:41:35,True
STEAM_0:0:640057029,Arthur,ATK,61,5069,8.11,6.72,5.6,6.05,43,12,2,4,4146,485,185,189,8.11,6.96,6.96,2026-05-16 21:10:57,True
STEAM_0:0:672972390,foofey,ATK,67,3981,7.21,5.83,6.24,,36,19,12,0,2877,374,631,0,7.21,6.96,6.96,2026-08-09 22:20:36,True
STEAM_0:1:590458372,Kq,ATK,105,8626,6.89,6.63,6.62,,52,21,32,0,4339,1352,2456,0,6.89,6.89,6.89,2026-08-17 05:59:17,True
STEAM_0:1:521709613,mamastroso,ATK,78,6577,7.77,8.23,6.21,,40,35,3,0,2840,2530,220,0,7.77,6.87,6.87,2026-06-20 23:45:00,True
STEAM_0:1:550341195,slwy,ATK,88,7687,7.09,6.42,6.06,5.87,76,7,4,1,6707,480,366,32,7.09,6.84,6.84,2026-08-09 22:20:36,True
STEAM_0:1:509480167,nunca,GK,55,2717,5.88,5.1,7.14,7.96,3,8,15,29,66,1,897,1620,7.96,6.81,6.81,2025-08-19 01:14:11,True
STEAM_0:1:597838122,Gabz,DEF,118,8967,5.3,6.06,7.42,,3,15,100,0,62,184,8596,0,7.42,6.77,6.77,2026-07-04 01:31:22,True
STEAM_0:0:783894272,gus,DEF,531,44491,5.75,5.59,6.74,5.54,155,59,313,4,13532,2242,26610,195,6.74,6.74,6.74,2026-08-22 22:07:36,True
STEAM_0:1:608932992,TaxiCrousty,ATK,59,4617,7.64,5.39,5.94,5.62,46,8,4,1,4104,192,285,6,7.64,6.74,6.74,2026-06-20 21:17:36,True
STEAM_0:0:692640108,KRug4,DEF,373,28082,5.72,6.92,7.38,7.8,32,64,208,69,2086,3308,16680,3133,7.38,6.73,6.73,2026-06-25 04:55:55,True
STEAM_0:0:627138616,Sebah,ATK,52,4436,6.73,6.2,5.99,5.71,34,11,4,3,3095,905,245,28,6.73,6.73,6.73,2026-08-21 05:30:37,True
