steamid,player,main_role,total_appearances,total_minutes,atk_rating,mid_rating,def_rating,gk_rating,atk_appearances,mid_appearances,def_appearances,gk_appearances,atk_minutes,mid_minutes,def_minutes,gk_minutes,main_role_rating,display_main_role_rating,rating,last_match_at,is_official_rating
STEAM_0:1:787992769,kliy,ATK,502,40909,9.15,9.09,7.14,6.77,371,95,20,16,32655,6508,937,809,9.15,9.15,9.15,2026-08-25 05:47:01,True
STEAM_0:0:838076937,yeico,ATK,691,56243,9.03,9.01,7.61,6.73,378,258,22,33,32319,21094,1390,1440,9.03,9.03,9.03,2026-08-22 23:45:02,True
STEAM_0:0:591586986,... 1  half,MID,557,43642,8.25,8.96,7.92,7.79,160,270,52,75,13742,22700,3343,3857,8.96,8.96,8.96,2026-08-25 05:47:01,True
STEAM_0:0:495288729,..,ATK,1063,92087,8.89,8.81,8.37,7.36,830,106,98,29,75762,8106,7180,1039,8.89,8.89,8.89,2026-08-24 02:29:10,True
STEAM_0:1:126572080,Krythx,MID,249,20837,8.88,9.01,8.23,7.6,85,118,30,16,7362,10315,2249,911,9.01,8.83,8.83,2026-08-10 01:15:20,True
STEAM_0:0:87757576,daniel,MID,97,8196,8.23,8.78,6.57,,45,49,3,0,3696,4338,162,0,8.78,8.77,8.77,2026-08-17 05:59:17,True
STEAM_0:0:523865819,shaq,DEF,548,39679,6.98,8.05,8.74,7.95,23,36,310,179,1250,2407,26622,9400,8.74,8.74,8.74,2026-08-24 02:29:10,True
STEAM_0:1:451783975,Papalito,ATK,456,34759,8.94,8.53,7.94,7.2,307,74,49,26,25144,5108,3458,1049,8.94,8.72,8.72,2026-08-08 03:33:25,True
STEAM_0:1:776748154,Bicho,DEF,623,52418,7.7,8.24,8.71,6.36,108,70,437,8,8492,5341,38241,344,8.71,8.71,8.71,2026-08-22 23:45:02,True
STEAM_0:0:14773237,Bicho,ATK,76,6315,8.69,6.9,7.75,6.53,48,6,12,10,4445,432,1013,425,8.69,8.69,8.69,2026-08-25 05:47:01,True
STEAM_0:1:6064525,Bonny Lovy,MID,121,7784,7.45,8.65,7.05,6.77,24,74,15,8,1030,5350,948,456,8.65,8.65,8.65,2026-08-24 02:29:10,True
